name,label,train,val,test,true_soil,true_plant,true_residue,pred_soil,pred_plant,pred_residue
image_0001.jpg,label_0001.png,True,False,False,69.59,14.52,15.89,69.92,14.24,15.84
image_0002.jpg,label_0002.png,False,True,False,69.65,15.23,15.12,70.38,14.91,14.72
image_0003.jpg,label_0003.png,True,False,False,70.56,14.1,15.34,70.31,13.99,15.7
image_0004.jpg,label_0004.png,True,False,False,71.13,14.04,14.83,70.68,13.89,15.43
image_0005.jpg,label_0005.png,True,False,False,68.48,17.21,14.3,68.19,17.33,14.48
image_0006.jpg,label_0006.png,True,False,False,68.93,17.96,13.11,68.81,18.19,13.01
image_0007.jpg,label_0007.png,True,False,False,64.75,22.49,12.75,66.4,22.99,10.61
image_0008.jpg,label_0008.png,True,False,False,61.26,26.11,12.63,62.17,26.04,11.79
image_0009.jpg,label_0009.png,True,False,False,62.92,26.34,10.74,63.39,26.11,10.49
image_0010.jpg,label_0010.png,True,False,False,61.17,25.72,13.11,61.53,26.26,12.22
image_0011.jpg,label_0011.png,False,True,False,60.7,26.44,12.86,61.17,27.46,11.36
image_0012.jpg,label_0012.png,True,False,False,64.0,30.24,5.75,66.0,29.62,4.38
image_0013.jpg,label_0013.png,True,False,False,62.66,30.03,7.31,64.12,29.9,5.98
image_0014.jpg,label_0014.png,True,False,False,63.41,24.41,12.18,64.07,24.26,11.67
image_0015.jpg,label_0015.png,True,False,False,64.22,23.45,12.33,64.7,23.21,12.09
image_0016.jpg,label_0016.png,True,False,False,27.36,0.0,72.64,28.64,0.0,71.36
image_0017.jpg,label_0017.png,True,False,False,92.54,0.0,7.46,93.51,0.0,6.49
image_0018.jpg,label_0018.png,True,False,False,73.14,0.0,26.86,73.83,0.0,26.17
image_0019.jpg,label_0019.png,True,False,False,29.86,0.0,70.14,30.15,0.0,69.85
image_0020.jpg,label_0020.png,True,False,False,18.11,0.0,81.89,18.98,0.0,81.02
image_0021.jpg,label_0021.png,True,False,False,18.44,0.0,81.56,18.88,0.0,81.12
image_0022.jpg,label_0022.png,True,False,False,55.91,0.0,44.08,56.65,0.0,43.35
image_0023.jpg,label_0023.png,True,False,False,4.58,0.0,95.41,4.81,0.0,95.19
