name,label,train,val,test,true_soil,true_plant,true_residue,pred_soil,pred_plant,pred_residue
image_0001.jpg,label_0001.png,False,True,False,69.59,14.52,15.89,67.9,15.75,16.35
image_0002.jpg,label_0002.png,True,False,False,69.65,15.23,15.12,68.75,16.41,14.84
image_0003.jpg,label_0003.png,False,True,False,70.56,14.1,15.34,68.33,15.07,16.59
image_0004.jpg,label_0004.png,True,False,False,71.13,14.04,14.83,68.75,14.86,16.39
image_0005.jpg,label_0005.png,False,False,True,68.48,17.21,14.3,66.12,17.99,15.9
image_0006.jpg,label_0006.png,False,False,True,68.93,17.96,13.11,66.01,18.48,15.51
image_0007.jpg,label_0007.png,True,False,False,64.75,22.49,12.75,64.64,22.71,12.65
image_0008.jpg,label_0008.png,True,False,False,61.26,26.11,12.63,62.86,25.9,11.24
image_0009.jpg,label_0009.png,False,False,True,62.92,26.34,10.74,65.37,27.05,7.58
image_0010.jpg,label_0010.png,True,False,False,61.17,25.72,13.11,63.08,26.62,10.3
image_0011.jpg,label_0011.png,True,False,False,60.7,26.44,12.86,62.73,28.23,9.05
image_0012.jpg,label_0012.png,True,False,False,64.0,30.24,5.75,67.04,29.72,3.24
image_0013.jpg,label_0013.png,True,False,False,62.66,30.03,7.31,65.86,29.75,4.38
image_0014.jpg,label_0014.png,False,True,False,63.41,24.41,12.18,65.95,25.61,8.44
image_0015.jpg,label_0015.png,True,False,False,64.22,23.45,12.33,66.56,24.64,8.8
image_0016.jpg,label_0016.png,True,False,False,27.36,0.0,72.64,29.92,0.0,70.08
image_0017.jpg,label_0017.png,True,False,False,92.54,0.0,7.46,94.4,0.0,5.6
image_0018.jpg,label_0018.png,True,False,False,73.14,0.0,26.86,75.34,0.0,24.66
image_0019.jpg,label_0019.png,True,False,False,29.86,0.0,70.14,31.35,0.0,68.65
image_0020.jpg,label_0020.png,True,False,False,18.11,0.0,81.89,19.01,0.0,80.99
image_0021.jpg,label_0021.png,True,False,False,18.44,0.0,81.56,18.36,0.0,81.64
image_0022.jpg,label_0022.png,False,True,False,55.91,0.0,44.08,57.01,0.0,42.99
image_0023.jpg,label_0023.png,False,True,False,4.58,0.0,95.41,4.81,0.0,95.19
image_0024.jpg,label_0024.png,True,False,False,80.13,0.0,19.87,82.29,0.0,17.71
image_0025.jpg,label_0025.png,False,True,False,79.62,0.01,20.37,82.11,0.01,17.88
image_0026.jpg,label_0026.png,False,False,True,90.64,0.0,9.35,92.54,0.0,7.46
image_0027.jpg,label_0027.png,True,False,False,86.53,0.0,13.47,86.03,0.0,13.97
